"","id","Place","desc","coords"
"43",29748,"Sar-o Tar ","An ancient place, cited: BAtlas 3 H3 Sar-o Tar","[61.66014, 30.551217]"
"44",29802,"Bardasir, Bardašīr, Bardasīr, Bardashir ","An ancient place, cited: BAtlas 3 G3 Veh Ardashir/[Bardasir]/[Govasir]","[57.068581, 30.273015]"
"45",30205,"Alexandria in Carmania, Alexandria ","A city founded by Alexander the Great, perhaps in 324 B.C., which might be identical with the later Gulashkird/Golashkerd/Valashgird in Kerman Province of Iran.","[57.15222, 27.96833]"
"46",39269,"Athenae ","An ancient place, cited: BAtlas 4 C3 Adane/Athenae/Eudaimon Arabia","[45.038928, 12.771651]"
"47",39269,"Athenae ","An ancient place, cited: BAtlas 4 C3 Adane/Athenae/Eudaimon Arabia","[45.038928, 12.771651]"
"48",39269,"Arabia Eudaimōn, Arabia Eudaimon, Arabia Eudaiman ","An ancient place, cited: BAtlas 4 C3 Adane/Athenae/Eudaimon Arabia","[45.038928, 12.771651]"
"49",39269,"Athenae ","An ancient place, cited: BAtlas 4 C3 Adane/Athenae/Eudaimon Arabia","[45.038928, 12.771651]"
"50",39269,"Athenae ","An ancient place, cited: BAtlas 4 C3 Adane/Athenae/Eudaimon Arabia","[45.038928, 12.771651]"
"51",39269,"Arabia Eudaimōn, Arabia Eudaimon, Arabia Eudaiman ","An ancient place, cited: BAtlas 4 C3 Adane/Athenae/Eudaimon Arabia","[45.038928, 12.771651]"
"52",39269,"Athenae ","An ancient place, cited: BAtlas 4 C3 Adane/Athenae/Eudaimon Arabia","[45.038928, 12.771651]"
"53",39269,"Athenae ","An ancient place, cited: BAtlas 4 C3 Adane/Athenae/Eudaimon Arabia","[45.038928, 12.771651]"
"54",39269,"Arabia Eudaimōn, Arabia Eudaimon, Arabia Eudaiman ","An ancient place, cited: BAtlas 4 C3 Adane/Athenae/Eudaimon Arabia","[45.038928, 12.771651]"
"55",39272,"Gulf of Zula ","Adoulitikos Kolpos (The Gulf of Zula)","[39.7108842, 15.3619056]"
"56",39273,"Atramitis ","Mentioned by Roman writers, a region of the southern Arabian peninsula roughly in the area of the modern Hadramaut governorate of Yemen.","[49.490041757615174, 15.644866077609432]"
"57",39300,"Laththa ","An ancient place, cited: BAtlas 4 B2 Athroula/Laththa","[44.8045596, 16.0186886]"
"58",39300,"Athroula, Athlula, Athrida, Athroula/Laththa ","An ancient place, cited: BAtlas 4 B2 Athroula/Laththa","[44.8045596, 16.0186886]"
"59",39300,"Barāqish ","An ancient place, cited: BAtlas 4 B2 Athroula/Laththa","[44.8045596, 16.0186886]"
"60",39300,"Laththa ","An ancient place, cited: BAtlas 4 B2 Athroula/Laththa","[44.8045596, 16.0186886]"
"61",39300,"Athroula, Athlula, Athrida, Athroula/Laththa ","An ancient place, cited: BAtlas 4 B2 Athroula/Laththa","[44.8045596, 16.0186886]"
"62",39300,"Barāqish ","An ancient place, cited: BAtlas 4 B2 Athroula/Laththa","[44.8045596, 16.0186886]"
"63",39300,"Laththa ","An ancient place, cited: BAtlas 4 B2 Athroula/Laththa","[44.8045596, 16.0186886]"
"64",39300,"Athroula, Athlula, Athrida, Athroula/Laththa ","An ancient place, cited: BAtlas 4 B2 Athroula/Laththa","[44.8045596, 16.0186886]"
"65",39300,"Barāqish ","An ancient place, cited: BAtlas 4 B2 Athroula/Laththa","[44.8045596, 16.0186886]"
"66",39308,"Barbarikon Pelagos ","Azanium Mare/Barbarikon Pelagos (The Arabian Sea).","[64.9999999, 20.0000001]"
"67",39323,"Cariati, Cariati Tachoali, Cariati achoali, Cariath Tacitoali, Cariat Tacitoali ","An ancient place, cited: BAtlas 4 C2 Cariati","[45.15, 19.783]"
"68",39324,"Cosaba ","An ancient place, cited: BAtlas 4 C3 Caripeta","[45.514, 14.893]"
"69",39331,"Coralis, Corolia, Coralis? (river) ","An ancient place, cited: BAtlas 4 B2 Coralis? fl.","[40.0, 15.0]"
"70",39341,"Elisaroi ","An ancient people, tribe, or cultural group. Located: on Red Sea coast near Mouza and Okelis YEM.","[40.0, 10.0]"
"71",39365,"Labaetia, Labecia, Labraum ","An ancient place, cited: BAtlas 4 B2 Labaetia","[44.558041, 16.5545]"
"72",39366,"Lathinat ","An ancient place, cited: BAtlas 4 C3 Lathinat","[46.88256159040168, 14.319758704083734]"
"73",39368,"Laupas ","An ancient place, cited: BAtlas 4 B3 Laupas","[43.445883, 14.175369]"
"74",39368,"portus Laupas ","An ancient place, cited: BAtlas 4 B3 Laupas","[43.445883, 14.175369]"
"75",39368,"Laupas ","An ancient place, cited: BAtlas 4 B3 Laupas","[43.445883, 14.175369]"
"76",39368,"portus Laupas ","An ancient place, cited: BAtlas 4 B3 Laupas","[43.445883, 14.175369]"
"77",39378,"Sata ","An ancient place, cited: BAtlas 4 B3 Maphoritae","[40.0, 10.0]"
"78",39379,"Sabas, Saba ","Capital of the Sabaean kingdom.","[45.336, 15.427]"
"79",39379,"Baraba, Barmalacum ","Capital of the Sabaean kingdom.","[45.336, 15.427]"
"80",39379,"Sabas, Saba ","Capital of the Sabaean kingdom.","[45.336, 15.427]"
"81",39379,"Baraba, Barmalacum ","Capital of the Sabaean kingdom.","[45.336, 15.427]"
"82",39417,"Saba, Sabaeans ","An ancient people of south Arabia and the region they inhabited during a period contemporaneous with the Greek Hellenistic and Roman Republic.","[43.87469595599088, 14.216712429907409]"
"83",39418,"Sabatha, Sabata, Sabota, Sabat(h)a ","An ancient place, cited: BAtlas 4 C2 Sabat(h)a","[47.026, 15.369]"
"84",39419,"Sachalites Sinus ","An ancient place, cited: BAtlas 4 D2 Sachalites Sinus","[52.2093989, 15.9270015]"
"85",39420,"Sachalitis, Sacamum ","An area on the southern coast of the Arabian peninsula mentioned in Roman sources. It probably lay between modern Ras Fartak in Yemen and Ras Mirbat in Oman.","[52.169077621391374, 16.53835720585681]"
"86",39421,"Sakchenoi ","An ancient place, cited: BAtlas 4 B3 Sakchenoi","[43.77281484214879, 13.708817794285473]"
"87",39422,"Sammaei ","An ancient place, cited: BAtlas 4 B3 Sammaei","[44.42271247457645, 14.204814443436282]"
"88",39423,"Sapphar, Saphar ","This ancient settlement, located in the southern highlands of modern Yemen, was the capital of the Ḥimyarite tribal confederacy from the third to the sixth centuries of the modern era.","[44.4028658, 14.2122446]"
"89",39423,"Saphar ","This ancient settlement, located in the southern highlands of modern Yemen, was the capital of the Ḥimyarite tribal confederacy from the third to the sixth centuries of the modern era.","[44.4028658, 14.2122446]"
"90",39423,"Sapphar, Saphar ","This ancient settlement, located in the southern highlands of modern Yemen, was the capital of the Ḥimyarite tribal confederacy from the third to the sixth centuries of the modern era.","[44.4028658, 14.2122446]"
"91",39423,"Saphar ","This ancient settlement, located in the southern highlands of modern Yemen, was the capital of the Ḥimyarite tribal confederacy from the third to the sixth centuries of the modern era.","[44.4028658, 14.2122446]"
"92",39424,"Saraka ","An ancient place, cited: BAtlas 4 B3 Saraka","[43.925998, 13.434482]"
"93",39425,"Sarouon ","An ancient place, cited: BAtlas 4 C3 Sarouon","[46.394374, 14.785877]"
"94",39426,"Save, Sabe ","An ancient place, cited: BAtlas 4 B3 Save","[43.925, 13.34722]"
"95",39440,"Zamareni ","An ancient place, cited: BAtlas 4 B2 Zamareni?","[43.793633682930015, 15.808440799188872]"
"96",40176,"Klimax M., Klimax (mountain) ","An ancient name for a mountain, attested in primary sources. It is possibly to be identified with the Jabal Isbil in modern Yemen.","[44.675684, 14.57107]"
"97",49868,"Arasankuppam ","An ancient place, cited: BAtlas 5 E4 Arasankuppam","[80.115092, 12.737908]"
"98",49883,"Athirala ","An ancient place, cited: BAtlas 5 D4 Athirala","[79.030061, 14.020422]"
"99",49884,"Attikuli ","An ancient place, cited: BAtlas 5 inset Attikuli","[79.972546, 8.897691]"
"100",49890,"Barare ","An ancient port settlement on the southwest coast of India, mentioned by the Periplus, Pliny, and Ptolemy. Casson (whence BAtlas) places it at modern Pirakkād/Purakkad in the state of Kerala.","[76.36792, 9.35099]"
"101",49891,"Balapitiya ","An ancient place, cited: BAtlas 5 inset Balapitiya","[80.039504, 6.290816]"
"102",49892,"Balita, Balita/Bambala ","An ancient place, cited: BAtlas 5 D5 Balita/Bambala","[76.990276, 8.380214]"
"103",49901,"Baris, Baris (river) ","An ancient place, cited: BAtlas 5 D5 Baris fl.","[76.5610219, 9.3400897]"
"104",49903,"Baroussai, Barousai, Barous(s)ai? (islands) ","The Nicobar Islands","[92.7745986, 9.1765923]"
"105",49925,"Point Pedro ","The northernmost point of the island of Sri Lanka.","[80.212, 9.835]"
"106",49929,"Byzantion, Byzantion? ","An ancient place, cited: BAtlas 5 C3 Byzantion?","[73.339812, 16.503036]"
"107",49951,"Coliacum, Colis, Coliacum/Kalligikon Pr. ","An ancient place, cited: BAtlas 5 D4 Coliacum/Kalligikon Pr.","[79.8258095, 10.2781938]"
"108",49952,"Colombo ","An ancient place, cited: BAtlas 5 inset Colombo","[79.8792058, 6.9583287]"
"109",49953,"Cottonara ","Pliny the Elder identifies Cottonara as a district known for pepper, which was conveyed to Becare via dug-out canoes.","[76.55868554322535, 9.249773736175882]"
"110",49968,"Salsette Island ","An ancient place, cited: BAtlas 5 C3 Dounga","[72.90704, 19.205176]"
"111",50004,"India ","The region of ancient India as understood by the Greeks and Romans.","[75.29303562349872, 20.637050482611812]"
"112",50066,"Comorin, Cape ","The modern Kanyakumari (Cape Comorin), southernmost tip of the Indian subcontinent.","[77.5513761, 8.0772932]"
"113",50066,"Cape Comorin ","The modern Kanyakumari (Cape Comorin), southernmost tip of the Indian subcontinent.","[77.5513761, 8.0772932]"
"114",50066,"Comorin, Cape ","The modern Kanyakumari (Cape Comorin), southernmost tip of the Indian subcontinent.","[77.5513761, 8.0772932]"
"115",50066,"Cape Comorin ","The modern Kanyakumari (Cape Comorin), southernmost tip of the Indian subcontinent.","[77.5513761, 8.0772932]"
"116",50075,"Kurunegala, Kuruṇǣgala, Kuruṇākal ","A city of Sri Lanka where significant numbers of imported coins have been found, including Roman (reigns of Vespasian and Nero) and Chinese (Song and Southern Song dynasties). A Brahmi inscription from Kaduruvava in the Kurunegala district mentions a trade corporation of ""Kambojas"", an ancient people of Arachosia (i.e., the area of Kandahar in Afghanistan), possibly to be identified with Ptolemy's Tambyzoi, q.v..","[80.355886, 7.471079]"
"117",50080,"Cotiara ","An ancient place, cited: BAtlas 5 D5 Kottiara","[76.777701, 8.991778]"
"118",50127,"stagnum Megisba ","Pliny the Elder describes the ""Megisba Stagnum"" as an inland marsh or lake of Sri Lanka that has a circumference of 375 Roman miles. He says that from this wetland once flowed two rivers: one called Palaesimundus and the other called Cydara.","[75.0, 5.0]"
"119",50156,"Lamnaios ","The modern Narmada River in Gujarat, India, originates in the Vindhya mountain range and flows west to empty into the Gulf of Khambhat.","[74.0708781, 21.9315782]"
"120",50196,"Balepatna ","An ancient place, cited: BAtlas 5 C3 Palaipatmai?","[73.302413, 17.526305]"
"121",50205,"Paralia ","An ancient place, cited: BAtlas 5 D5 Paralia","[77.12975618462463, 8.529986781912214]"
"122",50220,"Podoperoura ","An ancient place, cited: BAtlas 5 D4 Podoperoura","[76.561462, 10.595404]"
"123",50221,"Podouke, Podouke/Arikamedu ","Podouke/Arikamedu is an archaeological site located in Kakkayanthope, Ariyankuppam Commune, Puducherry, India.","[79.817271, 11.8987488]"
"124",50225,"Poulipoula ","An ancient place, cited: BAtlas 5 C2 Poulipoula","[72.963116, 20.769455]"
"125",50226,"Pounnata ","An ancient place, cited: BAtlas 5 D5 Pounnata","[76.530222, 9.584268]"
"126",50243,"Sada ","An ancient place, cited: BAtlas 5 G2 Sada","[93.330422, 20.013925]"
"127",50244,"Sadenoi ","An ancient people, tribe, or cultural group. Śātavāhanas, dominant political power in Deccan Skt.: Śātavāhana.","[75.15805547982683, 20.31053959104395]"
"128",50248,"Salakenoi ","An ancient people between Kṛṣṇa and Godāvarīdeltas. Skt.: Śālankāyana.","[80.9945957233445, 16.230398488979972]"
"129",50250,"Salihundan ","An ancient place, cited: BAtlas 5 E3 Salihundan","[83.963492, 18.336424]"
"130",50252,"Saline, Saline? (island) ","An ancient place, cited: BAtlas 5 G3 Saline? Ins.","[90.0, 15.0]"
"131",50254,"Sanpewada ","An ancient place, cited: BAtlas 5 D2 Sanpewada","[79.291868, 21.025933]"
"132",50257,"Sardonyx, Sardonyx (mountain) ","The modern Satpura range.","[74.55064378967967, 21.726843623282093]"
"133",50291,"Saurāṣṭra, Saraostos ","An ancient place, cited: BAtlas 5 B2 Syrastrene","[69.72937989966624, 21.690675815993472]"
"134",59648,"Sambastai, Sabarcae, Sabbas, Sabou ","An ancient place, cited: BAtlas 6 C4 Abastanoi/Sambastai","[71.0319689672026, 28.866181944308323]"
"135",59664,"Sandabal ","A tributary of the Indus River.","[72.5966906, 31.6499474]"
"136",59668,"Alexandreia pròs Kaukásōi ","""Alexandria in the Caucasus"", an Achaemenid town re-established by Alexander the Great at modern Charikar, near Bagram in Afghanistan.","[69.310488, 34.992542]"
"137",59668,"Alexandria, Alexandria/Kapisa ","""Alexandria in the Caucasus"", an Achaemenid town re-established by Alexander the Great at modern Charikar, near Bagram in Afghanistan.","[69.310488, 34.992542]"
"138",59668,"Alexandreia pròs Kaukásōi ","""Alexandria in the Caucasus"", an Achaemenid town re-established by Alexander the Great at modern Charikar, near Bagram in Afghanistan.","[69.310488, 34.992542]"
"139",59668,"Alexandria, Alexandria/Kapisa ","""Alexandria in the Caucasus"", an Achaemenid town re-established by Alexander the Great at modern Charikar, near Bagram in Afghanistan.","[69.310488, 34.992542]"
"140",59669,"Arachosia ","Now Kandahar in Afghanistan, Alexandria/Alexandropolis/Cufis is an ancient site founded by Alexander the Great ca. 330 BC. The indigenous people of the Hellenistic period were likely the Pakthas.","[65.6597, 31.601]"
"141",59669,"Alexandreia en Arachōsia, Alexandreia en Arachosia, Alexandreia ","Now Kandahar in Afghanistan, Alexandria/Alexandropolis/Cufis is an ancient site founded by Alexander the Great ca. 330 BC. The indigenous people of the Hellenistic period were likely the Pakthas.","[65.6597, 31.601]"
"142",59669,"Alexandria, Alexandria in Arachosia, Alexandria/Alexandropolis/Cufis ","Now Kandahar in Afghanistan, Alexandria/Alexandropolis/Cufis is an ancient site founded by Alexander the Great ca. 330 BC. The indigenous people of the Hellenistic period were likely the Pakthas.","[65.6597, 31.601]"
"143",59669,"Alexandropolis ","Now Kandahar in Afghanistan, Alexandria/Alexandropolis/Cufis is an ancient site founded by Alexander the Great ca. 330 BC. The indigenous people of the Hellenistic period were likely the Pakthas.","[65.6597, 31.601]"
"144",59669,"Arachosia ","Now Kandahar in Afghanistan, Alexandria/Alexandropolis/Cufis is an ancient site founded by Alexander the Great ca. 330 BC. The indigenous people of the Hellenistic period were likely the Pakthas.","[65.6597, 31.601]"
"145",59669,"Alexandreia en Arachōsia, Alexandreia en Arachosia, Alexandreia ","Now Kandahar in Afghanistan, Alexandria/Alexandropolis/Cufis is an ancient site founded by Alexander the Great ca. 330 BC. The indigenous people of the Hellenistic period were likely the Pakthas.","[65.6597, 31.601]"
"146",59669,"Alexandria, Alexandria in Arachosia, Alexandria/Alexandropolis/Cufis ","Now Kandahar in Afghanistan, Alexandria/Alexandropolis/Cufis is an ancient site founded by Alexander the Great ca. 330 BC. The indigenous people of the Hellenistic period were likely the Pakthas.","[65.6597, 31.601]"
"147",59669,"Alexandropolis ","Now Kandahar in Afghanistan, Alexandria/Alexandropolis/Cufis is an ancient site founded by Alexander the Great ca. 330 BC. The indigenous people of the Hellenistic period were likely the Pakthas.","[65.6597, 31.601]"
"148",59669,"Arachosia ","Now Kandahar in Afghanistan, Alexandria/Alexandropolis/Cufis is an ancient site founded by Alexander the Great ca. 330 BC. The indigenous people of the Hellenistic period were likely the Pakthas.","[65.6597, 31.601]"
"149",59669,"Alexandreia en Arachōsia, Alexandreia en Arachosia, Alexandreia ","Now Kandahar in Afghanistan, Alexandria/Alexandropolis/Cufis is an ancient site founded by Alexander the Great ca. 330 BC. The indigenous people of the Hellenistic period were likely the Pakthas.","[65.6597, 31.601]"
"150",59669,"Alexandria, Alexandria in Arachosia, Alexandria/Alexandropolis/Cufis ","Now Kandahar in Afghanistan, Alexandria/Alexandropolis/Cufis is an ancient site founded by Alexander the Great ca. 330 BC. The indigenous people of the Hellenistic period were likely the Pakthas.","[65.6597, 31.601]"
"151",59669,"Alexandropolis ","Now Kandahar in Afghanistan, Alexandria/Alexandropolis/Cufis is an ancient site founded by Alexander the Great ca. 330 BC. The indigenous people of the Hellenistic period were likely the Pakthas.","[65.6597, 31.601]"
"152",59669,"Arachosia ","Now Kandahar in Afghanistan, Alexandria/Alexandropolis/Cufis is an ancient site founded by Alexander the Great ca. 330 BC. The indigenous people of the Hellenistic period were likely the Pakthas.","[65.6597, 31.601]"
"153",59669,"Alexandreia en Arachōsia, Alexandreia en Arachosia, Alexandreia ","Now Kandahar in Afghanistan, Alexandria/Alexandropolis/Cufis is an ancient site founded by Alexander the Great ca. 330 BC. The indigenous people of the Hellenistic period were likely the Pakthas.","[65.6597, 31.601]"
"154",59669,"Alexandria, Alexandria in Arachosia, Alexandria/Alexandropolis/Cufis ","Now Kandahar in Afghanistan, Alexandria/Alexandropolis/Cufis is an ancient site founded by Alexander the Great ca. 330 BC. The indigenous people of the Hellenistic period were likely the Pakthas.","[65.6597, 31.601]"
"155",59669,"Alexandropolis ","Now Kandahar in Afghanistan, Alexandria/Alexandropolis/Cufis is an ancient site founded by Alexander the Great ca. 330 BC. The indigenous people of the Hellenistic period were likely the Pakthas.","[65.6597, 31.601]"
"156",59672,"Alexandria Eschate ","Located in central Asia, Alexandria Eschate (or ""Alexandria the Farthest"") was founded by Alexander the Great in August 329 B.C. The city was located in the Fergana Valley in what is now modern Tajikistan.","[69.640562, 40.264798]"
"157",59675,"Alexandria, Alexandria/Rhambakia ","While on the march in 325 BC, Alexander arrived in Rhambakia, the chief village of the Oreitai. He ordered Hesphaistion to remain there and see to establishing a city. The location of this city cannot be determined today.","[66.45966756250053, 26.130729898182246]"
"158",59675,"Alexandropolis ","While on the march in 325 BC, Alexander arrived in Rhambakia, the chief village of the Oreitai. He ordered Hesphaistion to remain there and see to establishing a city. The location of this city cannot be determined today.","[66.45966756250053, 26.130729898182246]"
"159",59675,"Alexandria, Alexandria/Rhambakia ","While on the march in 325 BC, Alexander arrived in Rhambakia, the chief village of the Oreitai. He ordered Hesphaistion to remain there and see to establishing a city. The location of this city cannot be determined today.","[66.45966756250053, 26.130729898182246]"
"160",59675,"Alexandropolis ","While on the march in 325 BC, Alexander arrived in Rhambakia, the chief village of the Oreitai. He ordered Hesphaistion to remain there and see to establishing a city. The location of this city cannot be determined today.","[66.45966756250053, 26.130729898182246]"
"161",59677,"Barbara, Barce ","An ancient place, cited: BAtlas 6 B5 Alexandrou Limen/Portus Macedonum","[67.920001, 24.649668]"
"162",59677,"Portus Macedonum ","An ancient place, cited: BAtlas 6 B5 Alexandrou Limen/Portus Macedonum","[67.920001, 24.649668]"
"163",59677,"Barbara, Barce ","An ancient place, cited: BAtlas 6 B5 Alexandrou Limen/Portus Macedonum","[67.920001, 24.649668]"
"164",59677,"Portus Macedonum ","An ancient place, cited: BAtlas 6 B5 Alexandrou Limen/Portus Macedonum","[67.920001, 24.649668]"
"165",59690,"Barbarus ","An ancient place, cited: BAtlas 6 B4 Arabis fl.","[66.69363, 24.88207]"
"166",59692,"Arachosia ","A satrapy located in what is now Afghanistan.","[64.98960534668043, 30.710898746761643]"
"167",59693,"Arachosia, Arachosia (river) ","An ancient place, cited: BAtlas 6 A3 Arachosia fl.","[67.4656666, 33.2822013]"
"168",59694,"Arachosia ","An ancient place, cited: BAtlas 6 B3 Arachosiorum Oppidum/Alexandria","[68.388483, 33.498616]"
"169",59694,"Gazaca ","An ancient place, cited: BAtlas 6 B3 Arachosiorum Oppidum/Alexandria","[68.388483, 33.498616]"
"170",59694,"Alexandria ","An ancient place, cited: BAtlas 6 B3 Arachosiorum Oppidum/Alexandria","[68.388483, 33.498616]"
"171",59694,"Arachosia ","An ancient place, cited: BAtlas 6 B3 Arachosiorum Oppidum/Alexandria","[68.388483, 33.498616]"
"172",59694,"Gazaca ","An ancient place, cited: BAtlas 6 B3 Arachosiorum Oppidum/Alexandria","[68.388483, 33.498616]"
"173",59694,"Alexandria ","An ancient place, cited: BAtlas 6 B3 Arachosiorum Oppidum/Alexandria","[68.388483, 33.498616]"
"174",59694,"Arachosia ","An ancient place, cited: BAtlas 6 B3 Arachosiorum Oppidum/Alexandria","[68.388483, 33.498616]"
"175",59694,"Gazaca ","An ancient place, cited: BAtlas 6 B3 Arachosiorum Oppidum/Alexandria","[68.388483, 33.498616]"
"176",59694,"Alexandria ","An ancient place, cited: BAtlas 6 B3 Arachosiorum Oppidum/Alexandria","[68.388483, 33.498616]"
"177",59700,"Larike ","An ancient place, cited: BAtlas 6 C5 Ariake/Larike","[70.3861111372754, 22.347407053602637]"
"178",59716,"Sattagydai ","An ancient place, cited: BAtlas 6 B2 Astakenoi/Sattagydai","[69.48274156398958, 35.15216271414391]"
"179",59718,"Solis ","Asthala/Solis?/Karmina? Ins. (Astola Island)","[63.8461795, 25.1185928]"
"180",59721,"Attakenoi ","An ancient people, tribe, or cultural group. Located: along R. Sutlej.","[73.5482801961407, 30.611069317491342]"
"181",59732,"Barake, Barake (islands) ","An ancient place, cited: BAtlas 6 B5 Barake Inss.","[69.1425955, 22.4612642]"
"182",59733,"Barakes Kolpos ","Barakes Kolpos (Gulf of Kachchh)","[69.7625581, 22.6612804]"
"183",59733,"Gulf of Kutch, Gulf of Kachchh ","Barakes Kolpos (Gulf of Kachchh)","[69.7625581, 22.6612804]"
"184",59733,"Barakes Kolpos ","Barakes Kolpos (Gulf of Kachchh)","[69.7625581, 22.6612804]"
"185",59733,"Gulf of Kutch, Gulf of Kachchh ","Barakes Kolpos (Gulf of Kachchh)","[69.7625581, 22.6612804]"
"186",59734,"Barbarikon ","Barbarikon was a port city near modern-day Karachi, Sindh, Pakistan, that was important in the Hellenistic period in Indian Ocean trade.","[69.021536, 24.92407]"
"187",59735,"Bargysoi ","An ancient people, tribe, or cultural group. Located: between Śrāvastī and Vaiśālī Skt.: Bhārga.","[84.91057906296413, 26.5055151612911]"
"188",59737,"Barygaza, Bargose ","Barygaza was an ancient port located on the Gulf of Cambay.","[72.983068, 21.70078]"
